month,revenue
2021-01,25000
2021-02,27000
2021-03,29000
2021-04,28000
2021-05,31000
2021-06,33000
2021-07,35000
2021-08,34000
2021-09,36000
2021-10,38000
2021-11,40000
2021-12,45000
2022-01,42000
2022-02,44000
2022-03,46000
2022-04,45000
2022-05,48000
2022-06,50000
2022-07,52000
2022-08,51000
2022-09,54000
2022-10,56000
2022-11,58000
2022-12,65000
2023-01,60000
2023-02,62000
2023-03,64000
2023-04,63000
2023-05,66000
2023-06,68000
2023-07,70000
2023-08,69000
2023-09,72000
2023-10,74000
2023-11,76000
2023-12,82000

