id,name,category,price,rating
1,Wireless Headphones,Electronics,89.99,4.5
2,Running Shoes,Footwear,129.99,4.7
3,Coffee Maker,Appliances,79.99,4.3
4,Yoga Mat,Fitness,29.99,4.6
5,Laptop Backpack,Accessories,59.99,4.4
6,Bluetooth Speaker,Electronics,49.99,4.5
7,Water Bottle,Fitness,19.99,4.8
8,Desk Lamp,Home,39.99,4.2
9,Wireless Mouse,Electronics,29.99,4.6
10,Notebook Set,Stationery,15.99,4.7
11,Phone Case,Accessories,24.99,4.3
12,Fitness Tracker,Electronics,149.99,4.5
13,Cooking Pan,Kitchenware,69.99,4.6
14,Travel Pillow,Travel,34.99,4.4
15,Sunglasses,Accessories,89.99,4.7
16,Portable Charger,Electronics,39.99,4.8
17,Tennis Racket,Sports,119.99,4.5
18,Office Chair,Furniture,299.99,4.6
19,Smart Watch,Electronics,349.99,4.7
20,Indoor Plant,Home,29.99,4.5

